Species3,Total.individuals,Female,Male,Unknown,Beak.Length_Culmen,Beak.Length_Nares,Beak.Width,Beak.Depth,Tarsus.Length,Wing.Length,Secondary1,Tail.Length,Mass,Inference,Traits.inferred,Reference.species
Apus affinis,4,2,2,0,8.7,3.9,5.6,2.8,10.3,123.9,42.1,40.6,22.6,NO,NA,NA
Apus alexandri,4,2,2,0,8.7,3.1,2.9,2.1,8.7,137.5,40.8,54.2,35.5,NO,NA,NA
Apus apus,4,2,2,0,9.0,4.3,5.5,3.3,10.1,170.9,54.4,75.8,37.6,NO,NA,NA
Apus balstoni,4,2,2,0,11.5,4.2,3.5,2.6,11.0,161.2,47.3,71.2,42.8,NO,NA,NA
Apus barbatus,4,2,2,0,11.9,4.3,3.1,2.5,12.2,171.0,48.1,75.5,42.8,NO,NA,NA
Apus batesi,3,1,2,0,8.5,2.8,3.0,1.9,9.4,123.0,43.0,59.5,35.5,NO,NA,NA
Apus berliozi,4,2,2,0,10.8,4.6,3.8,2.7,13.5,170.2,51.2,72.8,38.2,NO,NA,NA
Apus bradfieldi,4,2,2,0,12.1,4.1,4.1,2.6,13.1,176.2,51.8,73.8,42.4,NO,NA,NA
Apus caffer,4,2,2,0,9.7,3.0,3.0,2.0,11.1,144.8,44.7,73.5,22.1,NO,NA,NA
Apus horus,4,2,2,0,9.6,3.8,3.0,2.2,10.0,153.8,47.7,58.0,27.4,NO,NA,NA
Apus niansae,4,2,2,0,9.6,3.1,2.8,2.5,12.5,154.8,45.6,66.8,32.5,NO,NA,NA
Apus nipalensis,4,2,2,0,9.3,3.6,3.4,2.1,11.5,131.8,42.7,46.8,29.8,NO,NA,NA
Apus pacificus,4,2,2,0,8.0,4.6,4.1,2.8,12.9,171.2,52.5,68.8,39.4,NO,NA,NA
Apus pallidus,4,2,2,0,11.3,4.6,3.8,2.3,11.4,167.0,47.9,72.0,41.9,NO,NA,NA
Apus sladeniae,3,0,3,0,12.8,4.7,3.5,3.0,13.6,177.0,49.9,78.3,42.8,NO,NA,NA
Apus toulsoni,3,1,2,0,10.3,3.6,3.1,2.3,10.9,144.4,42.1,52.0,27.4,NO,NA,NA
Apus unicolor,4,2,2,0,9.6,3.1,2.8,2.1,11.1,149.5,42.3,69.5,22.5,NO,NA,NA
Aquila adalberti,4,3,1,0,61.2,39.8,21.1,31.0,98.4,592.5,357.5,297.0,2958.0,NO,NA,NA
Aquila africanus,4,2,2,0,39.4,23.4,12.8,20.4,76.6,342.2,248.4,277.8,1047.0,NO,NA,NA
Aquila audax,4,2,2,0,59.1,37.2,19.5,29.9,99.2,611.5,360.0,392.5,3449.9,NO,NA,NA
Aquila chrysaetos,4,2,2,0,56.7,34.3,18.7,27.7,97.9,604.5,381.0,317.2,4248.0,NO,NA,NA
Aquila clanga,4,2,2,0,50.0,31.2,15.7,23.2,96.3,507.0,314.8,257.8,2154.3,NO,NA,NA
Aquila fasciatus,4,2,2,0,45.7,28.9,16.2,23.7,93.2,486.8,305.0,260.0,1936.5,NO,NA,NA
Aquila gurneyi,4,2,1,1,55.4,33.3,16.6,21.9,99.4,544.5,360.8,365.5,3060.0,NO,NA,NA
Aquila hastata,4,2,2,0,44.4,26.4,14.0,18.9,90.2,456.5,264.8,208.5,1359.4,NO,NA,NA
Aquila heliaca,4,2,2,0,58.7,37.5,19.7,28.9,93.9,584.8,354.0,315.3,3125.2,NO,NA,NA
Aquila nipalensis,4,2,2,0,53.5,32.4,17.6,24.9,97.0,557.2,332.0,263.0,2714.3,NO,NA,NA
Aquila pomarina,4,2,2,0,46.9,26.9,13.1,19.6,90.2,453.0,271.8,211.5,1359.4,NO,NA,NA
Aquila rapax,4,2,2,0,51.7,31.5,16.6,23.9,82.9,506.0,310.0,236.8,2236.1,NO,NA,NA
Aquila verreauxii,4,2,2,0,58.2,35.5,18.3,27.6,117.4,590.2,389.8,403.5,4195.0,NO,NA,NA
Aquila wahlbergi,4,2,2,0,39.8,23.9,12.1,17.3,70.0,410.2,235.5,212.0,640.0,NO,NA,NA
Ara ambiguus,4,1,2,1,77.8,71.3,32.8,74.2,37.9,401.5,243.9,445.2,1300.0,NO,NA,NA
Ara ararauna,8,3,2,3,71.4,61.9,30.3,55.3,31.2,374.8,279.1,497.1,1125.0,NO,NA,NA
Ara chloropterus,4,0,3,1,85.1,74.6,35.2,76.6,32.4,404.0,229.5,503.2,1214.0,NO,NA,NA
Ara glaucogularis,4,1,1,2,61.3,51.7,24.5,51.7,30.1,345.8,231.1,477.5,784.0,NO,NA,NA
Ara macao,8,2,4,2,70.6,64.1,32.9,62.9,32.3,393.3,270.2,569.1,1015.0,NO,NA,NA
Ara militaris,4,1,1,2,62.5,49.3,27.2,55.8,28.5,367.5,217.7,376.0,1134.0,NO,NA,NA
Ara rubrogenys,5,0,3,2,50.5,46.5,24.7,50.1,27.0,299.6,186.8,321.4,468.0,NO,NA,NA
Ara severus,8,2,3,3,43.2,36.2,21.2,35.8,21.0,238.6,158.1,246.8,343.0,NO,NA,NA
Arachnothera affinis,9,4,4,1,39.7,30.2,5.6,5.1,18.5,83.7,68.5,50.6,26.4,NO,NA,NA
Arachnothera chrysogenys,4,2,0,2,43.4,36.3,5.9,4.5,18.3,81.4,66.8,39.2,23.2,NO,NA,NA
Arachnothera clarae,4,1,3,0,41.3,32.5,5.6,4.7,20.4,76.4,66.7,41.6,30.1,NO,NA,NA
Arachnothera crassirostris,5,2,2,1,34.0,26.9,4.8,4.9,16.4,70.7,56.3,42.5,16.0,NO,NA,NA
Arachnothera everetti,8,4,4,0,42.3,32.7,5.9,5.5,19.7,90.1,73.5,55.6,29.2,NO,NA,NA
Arachnothera flavigaster,4,2,2,0,40.3,31.9,7.4,6.0,20.4,102.2,83.6,44.5,38.4,NO,NA,NA
Arachnothera juliae,4,2,2,0,47.2,35.9,5.4,4.6,17.9,78.1,60.0,44.2,25.4,NO,NA,NA
Arachnothera longirostra,25,2,2,21,42.0,34.3,4.0,3.8,17.6,67.2,57.6,42.5,12.5,NO,NA,NA
Arachnothera magna,4,2,2,0,44.0,33.6,5.8,5.6,20.1,87.9,72.4,51.5,30.7,NO,NA,NA
Arachnothera robusta,4,2,2,0,58.0,48.7,5.9,5.8,17.2,83.0,65.6,50.5,25.4,NO,NA,NA
Aramides axillaris,4,0,2,2,40.5,21.8,5.1,10.0,53.1,166.2,126.0,53.5,292.0,NO,NA,NA
Aramides cajanea,7,3,2,2,51.3,27.9,5.3,11.1,63.0,178.7,157.9,62.8,397.0,NO,NA,NA
Aramides calopterus,4,0,1,3,47.0,24.7,5.3,10.2,64.7,154.2,137.7,46.8,431.3,NO,NA,NA
Aramides mangle,5,0,1,4,40.3,23.2,4.5,9.6,53.5,160.2,116.0,55.5,183.0,NO,NA,NA
Aramides saracura,4,2,1,1,59.9,29.4,11.6,16.0,72.3,183.2,161.9,66.6,540.0,NO,NA,NA
Aramides wolfi,3,1,0,2,54.9,28.3,4.8,10.5,72.8,160.3,139.6,48.0,454.0,NO,NA,NA
Aramides ypecaha,4,1,2,1,76.9,38.1,6.6,13.9,85.2,221.2,190.2,84.2,700.1,NO,NA,NA
Aramidopsis plateni,1,0,0,1,49.8,29.7,3.9,8.5,58.2,138.0,132.1,36.0,191.0,NO,NA,NA
Aramus guarauna,4,1,1,2,55.4,32.4,9.2,11.6,84.6,230.2,196.6,225.8,1080.0,NO,NA,NA
Aratinga acuticaudata,24,1,22,1,28.2,27.4,17.2,33.6,15.2,185.8,102.2,173.8,171.0,NO,NA,NA
Aratinga aurea,4,2,2,0,24.2,18.3,11.7,20.0,13.7,139.5,74.8,122.5,84.6,NO,NA,NA
Aratinga auricapillus,4,0,1,3,29.2,23.9,13.2,22.8,14.4,153.8,80.0,130.0,130.0,NO,NA,NA
Aratinga brevipes,20,8,10,2,27.7,25.5,15.9,32.5,16.2,162.4,97.7,156.3,177.0,NO,NA,NA
Aratinga cactorum,4,2,0,2,23.2,18.6,12.2,20.6,12.5,135.8,78.2,113.0,139.3,NO,NA,NA
Aratinga canicularis,6,4,2,0,20.7,17.6,11.9,20.8,12.3,132.2,73.2,103.0,85.0,NO,NA,NA
Aratinga chloroptera,4,3,0,1,27.8,25.1,14.2,29.4,16.8,170.8,92.5,134.2,146.0,NO,NA,NA
Aratinga erythrogenys,4,1,2,1,31.0,27.7,17.3,32.9,15.4,171.8,100.4,139.0,151.0,NO,NA,NA
Aratinga euops,4,0,1,3,21.4,19.2,12.3,23.1,14.0,132.5,71.8,121.5,139.3,NO,NA,NA
Aratinga finschi,7,4,3,0,28.2,24.5,15.7,29.1,15.3,149.0,79.9,126.4,150.0,NO,NA,NA
Aratinga holochlora,20,5,11,4,26.7,26.0,16.2,30.7,17.7,168.3,97.1,134.4,138.0,NO,NA,NA
Aratinga jandaya,4,1,3,0,28.1,23.0,12.8,24.2,14.7,156.2,90.6,139.4,89.4,NO,NA,NA
Aratinga leucophthalma,4,2,2,0,30.3,26.7,16.5,29.7,16.6,169.2,97.1,149.3,158.0,NO,NA,NA
Aratinga mitrata,9,6,3,0,33.9,29.9,17.9,33.9,19.0,193.9,106.8,161.8,249.0,NO,NA,NA
Aratinga nana,37,11,10,16,21.0,19.1,12.0,22.7,13.5,133.8,75.1,117.4,76.9,NO,NA,NA
Aratinga pertinax,4,2,0,2,24.8,19.6,12.1,19.9,12.4,136.0,79.9,104.5,84.0,NO,NA,NA
Aratinga rubritorquis,6,3,3,0,27.9,23.4,15.9,28.0,15.2,145.3,74.8,117.7,212.0,NO,NA,NA
Aratinga solstitialis,11,4,7,0,25.8,22.8,13.1,22.6,14.2,154.4,91.3,136.2,119.6,NO,NA,NA
Aratinga wagleri,7,1,4,2,31.9,28.8,17.0,34.0,19.4,194.5,108.4,161.3,194.0,NO,NA,NA
Aratinga weddellii,4,1,2,1,27.1,21.7,12.6,23.6,13.9,139.2,79.5,104.0,108.0,NO,NA,NA
Arborophila ardens,3,0,3,0,21.8,9.9,5.3,7.9,38.4,130.3,96.1,42.1,266.6,NO,NA,NA
Arborophila atrogularis,4,2,2,0,20.9,9.0,5.6,6.8,37.0,125.0,90.7,46.2,237.3,NO,NA,NA
Arborophila brunneopectus,4,2,2,0,22.4,9.2,5.4,7.0,38.7,130.2,95.3,49.0,291.5,NO,NA,NA
Arborophila cambodiana,4,0,2,2,22.7,9.8,5.7,7.9,39.4,138.2,104.6,51.2,285.9,NO,NA,NA
Arborophila campbelli,4,2,2,0,21.9,9.4,5.6,7.5,40.4,129.5,97.0,52.0,336.0,NO,NA,NA
Arborophila charltonii,9,4,5,0,21.7,11.9,5.6,6.4,41.1,159.6,116.0,58.7,269.2,NO,NA,NA
Arborophila chloropus,10,4,6,0,20.6,9.1,5.0,6.3,38.9,145.7,101.2,60.1,250.0,NO,NA,NA
Arborophila crudigularis,4,2,2,0,23.6,10.2,5.6,7.9,38.4,137.2,100.0,52.0,256.8,NO,NA,NA
Arborophila davidi,1,0,0,1,17.6,7.0,4.6,6.1,34.8,124.0,91.3,48.0,241.0,NO,NA,NA
Arborophila gingica,4,2,2,0,21.9,8.3,4.7,6.2,40.2,136.2,98.1,55.2,253.0,NO,NA,NA
Arborophila hyperythra,2,1,1,0,20.0,9.8,5.1,7.9,44.8,132.5,102.8,45.5,270.0,NO,NA,NA
Arborophila javanica,4,2,2,0,24.0,10.5,5.8,7.8,43.5,137.2,102.4,44.0,272.0,NO,NA,NA
Arborophila mandellii,4,2,2,0,21.9,8.5,4.7,6.6,39.0,128.2,100.0,45.0,268.0,NO,NA,NA
Arborophila orientalis,4,2,2,0,22.2,9.6,5.9,8.1,43.0,142.5,109.4,50.2,336.0,NO,NA,NA
Arborophila rolli,1,0,1,0,23.5,9.6,5.6,8.4,43.5,140.4,108.7,43.8,336.0,NO,NA,NA
Arborophila rubrirostris,4,2,2,0,22.1,9.1,5.3,7.2,41.2,131.2,95.7,41.0,225.3,NO,NA,NA
Arborophila rufipectus,1,0,0,1,21.3,8.0,4.6,6.5,43.0,139.0,112.5,69.0,400.1,NO,NA,NA
Arborophila rufogularis,4,2,2,0,21.9,8.2,4.7,6.4,36.8,134.2,100.2,47.2,344.5,NO,NA,NA
Arborophila sumatrana,1,0,0,1,22.8,8.8,5.7,7.8,44.4,141.0,115.8,47.0,336.0,NO,NA,NA
Arborophila torqueola,4,2,2,0,20.7,7.7,5.1,6.0,40.7,136.5,102.0,52.2,344.5,NO,NA,NA
Archboldia papuensis,4,1,3,0,33.5,14.8,8.1,9.4,43.4,162.0,133.2,158.3,177.6,NO,NA,NA
Archilochus alexandri,4,2,2,0,21.6,17.2,1.4,1.6,3.9,42.4,15.0,24.5,3.4,NO,NA,NA
Archilochus colubris,4,2,2,0,20.4,15.2,1.8,1.7,2.8,42.4,14.7,26.4,3.1,NO,NA,NA
Ardea cinerea,4,2,2,0,137.1,95.5,19.6,25.9,137.0,445.0,297.0,167.0,1443.0,NO,NA,NA
Ardea cocoi,8,0,3,5,150.8,120.1,19.2,29.3,186.4,470.9,316.5,180.5,1752.4,NO,NA,NA
Ardea goliath,4,2,2,0,199.0,159.8,23.1,36.1,238.5,568.0,383.8,229.5,4468.0,NO,NA,NA
Ardea herodias,4,2,1,1,145.2,106.0,15.8,23.7,167.5,463.5,294.0,159.2,2523.4,NO,NA,NA
Ardea humbloti,4,1,3,0,144.5,118.0,18.0,26.3,172.5,449.0,281.0,169.8,1649.9,NO,NA,NA
Ardea insignis,4,0,0,4,156.2,129.2,18.6,28.3,176.0,537.0,342.0,194.5,1649.9,NO,NA,NA
Ardea melanocephala,4,2,2,0,102.3,81.8,14.9,22.7,133.2,386.2,246.0,145.5,1060.0,NO,NA,NA
Ardea pacifica,4,1,3,0,87.7,72.0,12.0,15.8,128.2,377.2,223.5,159.5,881.0,NO,NA,NA
Ardea picata,4,1,1,2,67.2,55.2,8.7,11.8,75.0,224.8,139.8,83.8,259.0,NO,NA,NA
Ardea purpurea,4,2,2,0,122.2,102.5,13.7,19.1,115.0,338.8,223.2,109.0,1064.5,NO,NA,NA
Ardea sumatrana,4,0,1,3,180.8,123.6,17.6,25.6,150.2,449.8,320.4,162.2,2024.0,NO,NA,NA
Ardeola bacchus,4,2,2,0,74.0,52.4,9.3,12.1,54.3,210.0,153.4,72.0,304.9,NO,NA,NA
Ardeola grayii,4,2,2,0,71.8,51.6,9.2,12.0,58.5,210.5,150.8,75.2,253.0,NO,NA,NA
Ardeola idae,4,2,2,0,69.3,51.9,9.4,12.9,59.5,224.8,151.2,88.2,266.0,NO,NA,NA
Ardeola ralloides,4,2,2,0,72.2,51.5,8.9,11.8,59.1,213.0,145.5,75.0,287.0,NO,NA,NA
Ardeola rufiventris,4,1,3,0,66.9,48.5,9.4,12.8,54.2,207.8,151.2,72.0,266.0,NO,NA,NA
Ardeola speciosa,4,2,2,0,68.8,50.7,9.2,11.6,57.6,190.2,140.2,63.2,266.0,NO,NA,NA
Ardeotis arabs,4,2,2,0,87.4,49.1,16.6,14.3,163.4,539.5,293.5,276.2,5943.5,NO,NA,NA
Ardeotis australis,2,0,0,2,79.3,42.0,19.4,18.9,175.5,592.5,332.0,304.0,4182.4,NO,NA,NA
Ardeotis kori,4,2,2,0,109.0,62.7,20.9,20.7,210.2,685.2,411.0,365.4,7994.2,NO,NA,NA
Ardeotis nigriceps,4,2,2,0,87.7,44.3,17.9,17.7,183.2,609.6,351.4,256.0,7235.3,NO,NA,NA
Arenaria interpres,4,2,2,0,25.9,15.7,3.9,5.4,25.4,146.8,65.8,61.8,136.0,NO,NA,NA
Arenaria melanocephala,4,2,2,0,25.4,15.2,3.8,5.0,25.8,142.0,69.5,59.8,126.2,NO,NA,NA
Argusianus argus,8,4,4,0,40.2,17.3,8.2,11.0,90.9,384.2,355.2,715.8,1959.9,NO,NA,NA
Arremon abeillei,4,1,2,1,16.8,11.0,5.7,8.2,24.1,74.2,66.3,59.8,25.9,NO,NA,NA
Arremon aurantiirostris,22,4,16,2,16.8,10.9,6.6,8.5,25.7,72.9,65.5,69.0,34.5,NO,NA,NA
Arremon brunneinucha,17,0,16,1,22.8,11.8,6.0,7.4,28.9,81.6,74.1,86.7,44.0,NO,NA,NA
Arremon castaneiceps,5,1,1,3,21.1,11.3,6.8,8.0,28.0,78.4,71.0,63.0,36.9,NO,NA,NA
Arremon crassirostris,4,2,2,0,14.8,9.4,5.6,7.8,23.4,62.0,54.5,55.2,38.7,NO,NA,NA
Arremon flavirostris,4,2,2,0,15.1,9.9,5.7,7.4,25.0,70.8,65.9,64.8,26.1,NO,NA,NA
Arremon franciscanus,4,0,4,0,16.5,10.2,5.1,7.4,21.2,72.2,64.5,66.6,24.9,NO,NA,NA
Arremon schlegeli,4,2,2,0,17.3,10.7,5.2,8.3,24.3,72.4,65.9,62.5,27.7,NO,NA,NA
Arremon semitorquatus,6,3,3,0,15.2,9.4,5.7,7.7,25.3,70.0,65.7,70.5,28.1,NO,NA,NA
Arremon taciturnus,33,14,15,4,14.7,10.0,5.5,7.3,23.8,72.3,64.5,61.4,24.8,NO,NA,NA
Arremon torquatus,18,4,2,12,19.9,11.2,6.1,7.5,30.1,79.9,72.0,83.8,42.0,NO,NA,NA
Arremon virenticeps,7,3,4,0,17.8,11.3,5.2,7.4,27.4,83.3,74.1,93.9,41.0,NO,NA,NA
Arremonops chloronotus,7,3,4,0,15.9,10.1,5.6,7.9,23.8,66.0,61.5,57.1,27.4,NO,NA,NA
Arremonops conirostris,9,4,4,1,18.0,11.9,6.4,8.6,26.3,75.3,70.1,70.5,35.9,NO,NA,NA
Arremonops rufivirgatus,7,3,4,0,15.3,9.5,5.0,6.9,23.9,65.3,59.7,62.1,22.4,NO,NA,NA
Arremonops tocuyensis,3,1,2,0,15.1,9.7,4.1,6.4,21.4,63.8,59.4,50.5,29.4,NO,NA,NA
Arses insularis,4,2,2,0,15.5,8.6,4.4,3.7,16.0,79.2,67.6,69.2,19.3,NO,NA,NA
Arses kaupi,4,2,2,0,13.5,7.0,4.0,3.4,17.6,79.8,64.0,78.0,13.5,NO,NA,NA
Arses telescophthalmus,9,3,4,2,15.3,7.9,4.6,3.8,16.5,78.5,64.3,71.3,15.3,NO,NA,NA
Artamella viridis,5,2,2,1,25.0,14.8,5.2,8.3,25.5,118.3,97.3,71.4,48.8,NO,NA,NA
Artamus cinereus,4,2,2,0,21.8,13.4,5.7,7.6,21.5,123.0,78.2,77.0,35.6,NO,NA,NA
Artamus cyanopterus,5,2,2,1,17.4,10.7,4.8,6.7,17.8,121.9,66.8,73.4,34.6,NO,NA,NA
Artamus fuscus,8,4,4,0,21.0,13.4,6.9,8.0,16.7,133.1,69.7,57.0,39.8,NO,NA,NA
Artamus insignis,4,1,2,1,29.8,17.1,8.1,9.4,19.0,141.1,79.8,68.5,51.3,NO,NA,NA
Artamus leucorynchus,4,2,1,1,19.7,14.7,8.4,9.0,17.7,134.2,80.6,60.2,41.7,NO,NA,NA
Artamus maximus,4,2,2,0,25.4,16.6,8.2,9.4,18.0,153.2,85.6,70.8,58.2,NO,NA,NA
Artamus mentalis,4,2,2,0,23.9,15.4,7.6,8.7,18.0,127.0,71.5,70.8,41.9,NO,NA,NA
Artamus minor,4,2,2,0,13.4,8.2,4.8,4.9,12.7,101.0,57.8,59.2,16.0,NO,NA,NA
Artamus monachus,4,1,1,2,29.0,20.1,9.5,11.3,18.7,153.2,90.1,83.5,43.6,NO,NA,NA
Artamus personatus,4,2,2,0,22.6,13.8,4.9,6.3,18.8,119.1,68.6,78.0,34.6,NO,NA,NA
Artamus superciliosus,5,2,2,1,21.7,12.8,5.0,6.4,19.8,118.9,66.1,80.7,35.5,NO,NA,NA
Artisornis metopias,10,3,4,3,14.9,7.6,2.7,2.8,20.9,48.4,43.6,39.0,8.4,NO,NA,NA
Artisornis moreaui,16,4,8,4,16.9,8.8,2.9,2.7,17.9,47.3,38.8,52.4,9.2,NO,NA,NA
Arundinicola leucocephala,5,3,2,0,17.0,11.5,6.1,5.0,16.9,60.1,52.1,46.9,13.8,NO,NA,NA
Ashbyia lovensis,4,2,2,0,13.8,8.1,3.2,3.8,20.6,74.9,59.1,42.5,17.5,NO,NA,NA
Asio abyssinicus,3,2,1,0,34.2,16.6,9.5,14.4,58.7,335.0,197.0,163.0,407.0,NO,NA,NA
Asio capensis,4,2,2,0,26.8,14.7,9.8,13.4,50.3,283.5,169.4,142.3,334.0,NO,NA,NA
Asio flammeus,4,2,2,0,27.2,13.7,9.0,13.0,42.5,297.2,156.2,146.5,322.6,NO,NA,NA
Asio madagascariensis,4,1,3,0,33.6,18.6,11.4,17.2,42.7,256.8,177.1,147.0,407.0,NO,NA,NA
Asio otus,4,2,2,0,27.2,13.7,8.8,12.4,39.5,272.2,149.9,129.8,296.6,NO,NA,NA
Asio stygius,4,0,3,1,44.4,20.3,9.3,16.8,43.4,319.0,186.1,169.2,565.0,NO,NA,NA
Aspatha gularis,4,2,2,0,30.2,20.0,8.7,8.8,22.8,100.0,82.7,138.2,62.7,NO,NA,NA
Asthenes anthoides,10,4,5,1,15.4,9.3,2.8,3.4,21.2,67.4,56.0,69.0,22.3,NO,NA,NA
Asthenes arequipae,4,1,1,2,15.9,9.4,3.0,3.9,24.6,68.9,59.6,74.2,20.0,NO,NA,NA
Asthenes baeri,9,3,5,1,12.5,7.8,2.6,3.7,19.4,59.0,51.2,68.0,17.8,NO,NA,NA
Asthenes berlepschi,3,1,2,0,16.9,10.4,2.9,4.3,23.6,67.9,60.8,74.1,19.0,NO,NA,NA
Asthenes cactorum,9,5,3,1,18.7,11.6,3.0,3.6,20.5,59.0,52.2,66.2,17.4,NO,NA,NA
Asthenes dorbignyi,16,5,10,1,14.8,9.2,2.9,3.7,22.7,65.7,57.2,73.8,15.9,NO,NA,NA
Asthenes flammulata,15,3,11,1,16.9,9.8,3.1,3.8,24.4,62.0,56.0,70.9,22.5,NO,NA,NA
Asthenes heterura,5,1,3,1,13.9,8.3,2.6,3.1,21.3,60.4,52.1,89.2,13.5,NO,NA,NA
Asthenes huancavelicae,4,1,2,1,14.2,9.5,3.0,3.7,22.3,63.0,55.6,67.8,19.0,NO,NA,NA
Asthenes hudsoni,8,3,4,1,18.3,11.5,3.2,4.4,23.9,73.9,61.0,72.8,19.0,NO,NA,NA
Asthenes humicola,8,2,4,2,14.8,9.2,3.0,3.6,21.8,61.6,54.2,73.4,20.8,NO,NA,NA
Asthenes humilis,9,3,5,1,17.5,10.4,3.0,3.7,25.2,71.4,64.1,64.4,21.0,NO,NA,NA
Asthenes luizae,2,0,2,0,14.4,11.0,2.8,4.1,24.5,70.0,62.2,86.4,28.0,NO,NA,NA
Asthenes maculicauda,4,1,3,0,16.6,8.6,2.9,3.4,22.5,57.9,51.2,81.0,19.0,NO,NA,NA
Asthenes modesta,7,2,5,0,16.2,10.1,2.7,3.4,22.9,68.0,60.5,70.5,16.8,NO,NA,NA
Asthenes ottonis,8,2,5,1,14.6,8.5,2.6,3.3,21.7,59.6,51.3,95.0,13.0,NO,NA,NA
Asthenes patagonica,8,3,4,1,12.9,7.7,2.9,3.6,20.0,56.7,48.5,65.3,16.4,NO,NA,NA
Asthenes pudibunda,7,2,4,1,17.1,9.8,2.7,3.3,21.8,59.8,54.1,80.5,14.9,NO,NA,NA
Asthenes pyrrholeuca,8,3,4,1,13.5,8.4,2.5,3.0,19.4,58.0,47.6,80.7,13.2,NO,NA,NA
Asthenes sclateri,8,4,4,0,14.7,9.5,3.1,3.7,23.7,71.3,60.5,91.5,25.9,NO,NA,NA
Asthenes steinbachi,5,3,2,0,13.7,8.6,3.1,3.9,21.8,64.5,55.8,85.8,19.5,NO,NA,NA
Asthenes urubambensis,4,0,3,1,15.8,9.4,3.0,3.5,25.3,58.1,50.9,87.0,16.0,NO,NA,NA
Asthenes virgata,7,0,7,0,17.1,9.7,3.2,3.9,24.6,66.3,60.8,85.5,22.0,NO,NA,NA
Asthenes wyatti,13,3,9,1,16.7,10.1,2.8,3.5,24.5,66.4,57.9,71.8,15.2,NO,NA,NA
Astrapia mayeri,6,2,4,0,30.0,16.3,5.1,7.2,40.5,168.5,153.3,684.5,139.3,NO,NA,NA
Astrapia nigra,4,2,2,0,39.0,24.6,6.0,8.6,42.1,181.0,157.0,419.0,190.0,NO,NA,NA
Astrapia rothschildi,4,1,3,0,35.5,22.0,6.8,8.4,41.4,177.8,147.7,399.8,181.4,NO,NA,NA
Astrapia splendidissima,4,2,2,0,37.6,24.2,6.2,7.8,36.8,134.5,120.7,135.1,131.3,NO,NA,NA
Astrapia stephaniae,4,2,2,0,34.3,21.2,5.2,7.1,42.0,147.0,129.1,490.2,141.8,NO,NA,NA
Atalotriccus pilaris,5,0,2,3,13.1,6.3,3.4,2.6,15.6,41.2,37.6,33.7,6.8,NO,NA,NA
Atelornis crossleyi,4,1,1,2,27.4,17.9,7.1,7.8,38.4,91.2,80.8,106.5,79.0,NO,NA,NA
Atelornis pittoides,4,2,2,0,31.7,21.3,7.9,9.6,39.2,110.0,88.2,105.5,91.5,NO,NA,NA
Athene brama,8,4,4,0,19.7,12.4,7.8,11.3,25.3,153.0,108.5,74.2,112.0,NO,NA,NA
Athene cunicularia,4,2,2,0,24.7,15.5,7.8,13.7,42.4,180.0,128.9,80.2,150.6,NO,NA,NA
Athene noctua,4,2,2,0,18.5,11.6,8.1,11.4,31.7,157.0,107.0,74.2,168.9,NO,NA,NA
Atlantisia rogersi,4,2,2,0,21.2,12.7,2.6,4.2,22.5,54.2,54.1,28.5,39.3,NO,NA,NA
Atlapetes albiceps,4,2,2,0,16.9,10.2,5.6,7.7,25.3,73.0,65.6,70.8,32.2,NO,NA,NA
Atlapetes albinucha,4,1,3,0,17.0,10.6,6.4,8.4,27.8,76.5,69.2,81.0,33.8,NO,NA,NA
Atlapetes albofrenatus,4,1,0,3,15.7,9.5,5.3,6.7,26.4,72.0,62.6,78.0,30.0,NO,NA,NA
Atlapetes canigenis,4,3,1,0,16.1,9.4,5.6,6.5,27.7,73.2,65.7,73.2,32.2,NO,NA,NA
Atlapetes citrinellus,4,1,3,0,13.2,9.4,5.5,7.1,26.0,69.0,61.0,70.8,28.0,NO,NA,NA
Atlapetes flaviceps,4,1,3,0,14.1,8.4,4.5,6.7,24.7,72.5,64.2,65.0,33.7,NO,NA,NA
Atlapetes forbesi,4,2,2,0,15.9,9.0,5.1,7.1,27.2,79.0,70.4,87.5,32.2,NO,NA,NA
Atlapetes fulviceps,4,1,3,0,15.1,8.8,4.6,6.9,24.2,75.2,64.9,68.8,28.2,NO,NA,NA
Atlapetes fuscoolivaceus,2,1,1,0,15.5,8.9,5.1,6.7,26.9,71.5,62.1,78.5,32.5,NO,NA,NA
Atlapetes latinuchus,4,2,2,0,15.3,9.0,5.2,6.8,26.3,73.5,64.3,74.8,23.6,NO,NA,NA
Atlapetes leucopis,4,0,3,1,16.5,10.3,5.6,7.5,29.3,79.8,69.1,85.2,32.2,NO,NA,NA
Atlapetes leucopterus,4,2,2,0,15.9,9.4,5.1,6.8,26.8,69.0,59.1,67.5,20.8,NO,NA,NA
Atlapetes melanocephalus,4,0,1,3,16.0,9.5,5.9,6.9,26.3,70.5,60.2,77.2,25.0,NO,NA,NA
Atlapetes melanolaemus,8,2,2,4,16.1,8.3,4.9,6.2,26.9,70.4,63.8,72.4,25.7,NO,NA,NA
Atlapetes melanopsis,1,0,1,0,18.0,9.6,5.5,6.2,26.2,76.0,65.6,81.0,32.2,NO,NA,NA
Atlapetes nationi,4,2,2,0,17.2,10.2,5.6,8.1,29.9,81.8,73.5,79.8,41.6,NO,NA,NA
Atlapetes pallidiceps,4,1,2,1,17.0,10.5,5.4,7.6,26.4,77.5,68.4,78.5,32.2,NO,NA,NA
