node,spec_rate
Node2,0.10058857195034045
Node3,0.06303931779393784
Node4,0.06717873390425234
Node5,0.048423501502470295
Rhea_americana,0.02418175563316874
Rhea_pennata,0.02399414491444198
Node6,0.07453285174084506
Node7,0.055926096862461756
Node8,0.05478572145005093
Apteryx_australis,0.03518487386343353
Apteryx_mantelli,0.037965501379358176
Node9,0.05158344349794811
Apteryx_owenii,0.043781866638639644
Apteryx_haastii,0.04697343818648032
Node10,0.05542678194277283
Dromaius_novaehollandiae,0.03920563381756606
Node11,0.038063212386388635
Casuarius_casuarius,0.02333672200693561
Casuarius_bennetti,0.023445208864474737
Struthio_camelus,0.03382473078118689
Node12,0.07903946812742414
Node13,0.06596540161719264
Tinamus_major,0.036000691301610606
Node14,0.07022143335603372
Node15,0.05140151790892307
Crypturellus_parvirostris,0.03044948105725823
Node16,0.04127819022295376
Crypturellus_obsoletus,0.026143667612190457
Crypturellus_tataupa,0.02489625397975888
Node17,0.06580494695428432
Node18,0.04444345039948857
Crypturellus_variegatus,0.028724277631599366
Crypturellus_soui,0.030584691276639604
Node19,0.042578090919335766
Crypturellus_undulatus,0.02632350391074847
Crypturellus_strigulosus,0.024644108636310204
Node20,0.07900633142676099
Node21,0.049289337052314135
Node22,0.03317516969136589
Tinamotis_pentlandii,0.023713169436832344
Eudromia_elegans,0.0239094210958968
Tinamotis_ingoufi,0.02572533828729509
Node23,0.051557036084883864
Node24,0.04588239189371518
Rhynchotus_rufescens,0.02852851871654657
Node25,0.04058774171916803
Nothoprocta_cinerascens,0.02453584672699093
Nothoprocta_perdicaria,0.027954271459770298
Node26,0.03902748511128771
Nothura_darwinii,0.021792301516787772
Nothura_maculosa,0.021481606712589082
Node27,0.1822140982176136
Node28,0.11783398597726899
Node29,0.10361609315567027
Node30,0.1131950463319266
Node31,0.10324697867129595
Node32,0.1833718890499647
Node33,0.16507496452032083
Node34,0.13229581261158
Node35,0.1821584220933778
Oreortyx_pictus,0.1297123546921379
Node36,0.22143653608528394
Node37,0.2422926401795718
Colinus_virginianus,0.1041357045806901
Colinus_cristatus,0.12660689032074696
Node38,0.284635948580105
Node39,0.3399661063277151
Callipepla_douglasii,0.274156510266739
Node40,0.33259856584401665
Callipepla_gambelii,0.1813375256417709
Callipepla_californica,0.19382354470962843
Callipepla_squamata,0.21435921316452153
Cyrtonyx_montezumae,0.10639345296824873
Ptilopachus_petrosus,0.08468355589858617
Node41,0.17378505932636756
Node42,0.21609337502979817
Node43,0.15431371659282822
Node44,0.1365528787251033
Node45,0.10603304745267092
Rollulus_rouloul,0.056002286085630015
Caloperdix_oculeus,0.05480391625800214
Node46,0.13094607896215657
Arborophila_javanica,0.08540159100299623
Node47,0.1336688382557532
Node48,0.10475093584772528
Arborophila_rufipectus,0.06572958441520153
Arborophila_torqueola,0.07551646468966494
Node49,0.10841427065209004
Arborophila_rufogularis,0.06751403619303105
Arborophila_gingica,0.06597653345618877
Xenoperdix_udzungwensis,0.09510990986033842
Node50,0.28111844645971196
Node51,0.11588887143575086
Rheinardia_ocellata,0.062459540777911306
Argusianus_argus,0.07019699362954553
Node52,0.4323120836704604
Node53,0.31543630075895945
